date,areaType,areaCode,areaName,cumCasesBySpecimenDate,cumDeathsByDeathDate,newCasesBySpecimenDate,newDeathsByDeathDate,newCasesBySpecimenDateRollingRate
13/12/2020,region,E12000001,North East,,,,,
12/12/2020,region,E12000001,North East,107722,4432,137,1,
11/12/2020,region,E12000001,North East,107585,4431,523,12,
10/12/2020,region,E12000001,North East,107062,4419,582,19,
09/12/2020,region,E12000001,North East,106480,4400,628,17,
08/12/2020,region,E12000001,North East,105852,4383,717,22,156.8
07/12/2020,region,E12000001,North East,105135,4361,757,33,154.2
06/12/2020,region,E12000001,North East,104378,4328,509,24,154.4
05/12/2020,region,E12000001,North East,103869,4304,413,33,152.4
04/12/2020,region,E12000001,North East,103456,4271,557,21,155.4
03/12/2020,region,E12000001,North East,102899,4250,591,27,158.4
02/12/2020,region,E12000001,North East,102308,4223,642,24,162.6
01/12/2020,region,E12000001,North East,101666,4199,647,24,168.7
30/11/2020,region,E12000001,North East,101019,4175,763,33,176.4
29/11/2020,region,E12000001,North East,100256,4142,455,34,184.2
28/11/2020,region,E12000001,North East,99801,4108,494,30,190.5
27/11/2020,region,E12000001,North East,99307,4078,637,24,197.4
26/11/2020,region,E12000001,North East,98670,4054,702,32,208.8
25/11/2020,region,E12000001,North East,97968,4022,805,31,220.9
24/11/2020,region,E12000001,North East,97163,3991,853,39,241
23/11/2020,region,E12000001,North East,96310,3952,971,36,264.1
22/11/2020,region,E12000001,North East,95339,3916,625,38,286.6
21/11/2020,region,E12000001,North East,94714,3878,678,39,302.6
20/11/2020,region,E12000001,North East,94036,3839,942,40,316.6
19/11/2020,region,E12000001,North East,93094,3799,1023,33,337.9
18/11/2020,region,E12000001,North East,92071,3766,1342,35,357
17/11/2020,region,E12000001,North East,90729,3731,1470,35,376.3
16/11/2020,region,E12000001,North East,89259,3696,1572,29,387.8
15/11/2020,region,E12000001,North East,87687,3667,1052,36,405.9
14/11/2020,region,E12000001,North East,86635,3631,1051,38,415
13/11/2020,region,E12000001,North East,85584,3593,1511,32,426
12/11/2020,region,E12000001,North East,84073,3561,1534,22,424.1
11/11/2020,region,E12000001,North East,82539,3539,1858,25,422.3
10/11/2020,region,E12000001,North East,80681,3514,1777,27,405.7
09/11/2020,region,E12000001,North East,78904,3487,2055,41,396
08/11/2020,region,E12000001,North East,76849,3446,1295,22,381.7
07/11/2020,region,E12000001,North East,75554,3424,1345,32,370.4
06/11/2020,region,E12000001,North East,74209,3392,1460,30,353.2
05/11/2020,region,E12000001,North East,72749,3362,1486,26,343.8
04/11/2020,region,E12000001,North East,71263,3336,1414,26,330.2
03/11/2020,region,E12000001,North East,69849,3310,1519,23,321.1
02/11/2020,region,E12000001,North East,68330,3287,1672,21,308.2
01/11/2020,region,E12000001,North East,66658,3266,994,28,295
31/10/2020,region,E12000001,North East,65664,3238,885,20,289.5
30/10/2020,region,E12000001,North East,64779,3218,1210,31,288.6
29/10/2020,region,E12000001,North East,63569,3187,1122,19,282.1
28/10/2020,region,E12000001,North East,62447,3168,1171,29,286.1
27/10/2020,region,E12000001,North East,61276,3139,1176,21,298.6
26/10/2020,region,E12000001,North East,60100,3118,1317,24,308.3
25/10/2020,region,E12000001,North East,58783,3094,848,18,311.8
24/10/2020,region,E12000001,North East,57935,3076,861,19,311
23/10/2020,region,E12000001,North East,57074,3057,1038,14,309
22/10/2020,region,E12000001,North East,56036,3043,1227,25,310.5
21/10/2020,region,E12000001,North East,54809,3018,1506,21,308.3
20/10/2020,region,E12000001,North East,53303,2997,1434,24,303.9
19/10/2020,region,E12000001,North East,51869,2973,1410,24,298.7
18/10/2020,region,E12000001,North East,50459,2949,827,18,297.8
17/10/2020,region,E12000001,North East,49632,2931,807,19,301.8
16/10/2020,region,E12000001,North East,48825,2912,1079,16,303.1
15/10/2020,region,E12000001,North East,47746,2896,1168,19,306.8
14/10/2020,region,E12000001,North East,46578,2877,1388,18,314.6
13/10/2020,region,E12000001,North East,45190,2859,1296,15,317.8
12/10/2020,region,E12000001,North East,43894,2844,1387,12,323.2
11/10/2020,region,E12000001,North East,42507,2832,933,18,322.7
10/10/2020,region,E12000001,North East,41574,2814,841,18,332.7
09/10/2020,region,E12000001,North East,40733,2796,1178,9,344.8
08/10/2020,region,E12000001,North East,39555,2787,1377,17,346.2
07/10/2020,region,E12000001,North East,38178,2770,1472,14,338.9
06/10/2020,region,E12000001,North East,36706,2756,1442,11,319.8
05/10/2020,region,E12000001,North East,35264,2745,1374,14,305
04/10/2020,region,E12000001,North East,33890,2731,1199,13,289.8
03/10/2020,region,E12000001,North East,32691,2718,1164,11,269.6
02/10/2020,region,E12000001,North East,31527,2707,1216,20,255.2
01/10/2020,region,E12000001,North East,30311,2687,1181,8,232.4
30/09/2020,region,E12000001,North East,29130,2679,963,7,215.1
29/09/2020,region,E12000001,North East,28167,2672,1046,8,203
28/09/2020,region,E12000001,North East,27121,2664,969,10,184.4
27/09/2020,region,E12000001,North East,26152,2654,660,15,171
26/09/2020,region,E12000001,North East,25492,2639,778,11,168.4
25/09/2020,region,E12000001,North East,24714,2628,608,9,155.5
24/09/2020,region,E12000001,North East,24106,2619,719,3,150
23/09/2020,region,E12000001,North East,23387,2616,640,6,136.9
22/09/2020,region,E12000001,North East,22747,2610,549,5,125.2
21/09/2020,region,E12000001,North East,22198,2605,611,9,114.5
20/09/2020,region,E12000001,North East,21587,2596,590,7,99
19/09/2020,region,E12000001,North East,20997,2589,434,2,82.2
18/09/2020,region,E12000001,North East,20563,2587,463,5,71.8
17/09/2020,region,E12000001,North East,20100,2582,369,7,61.9
16/09/2020,region,E12000001,North East,19731,2575,328,5,56.9
15/09/2020,region,E12000001,North East,19403,2570,263,10,53.4
14/09/2020,region,E12000001,North East,19140,2560,196,2,51.9
13/09/2020,region,E12000001,North East,18944,2558,141,1,52.2
12/09/2020,region,E12000001,North East,18803,2557,156,6,53.3
11/09/2020,region,E12000001,North East,18647,2551,200,4,56.2
10/09/2020,region,E12000001,North East,18447,2547,236,1,55.3
09/09/2020,region,E12000001,North East,18211,2546,234,1,54.1
08/09/2020,region,E12000001,North East,17977,2545,224,3,50.1
07/09/2020,region,E12000001,North East,17753,2542,203,3,46.1
06/09/2020,region,E12000001,North East,17550,2539,170,3,41.9
05/09/2020,region,E12000001,North East,17380,2536,233,4,37.8
04/09/2020,region,E12000001,North East,17147,2532,176,2,32
03/09/2020,region,E12000001,North East,16971,2530,204,7,27.9
02/09/2020,region,E12000001,North East,16767,2523,127,1,22.8
01/09/2020,region,E12000001,North East,16640,2522,118,1,20.6
31/08/2020,region,E12000001,North East,16522,2521,91,2,18
30/08/2020,region,E12000001,North East,16431,2519,61,1,16
29/08/2020,region,E12000001,North East,16370,2518,78,5,14.6
28/08/2020,region,E12000001,North East,16292,2513,67,5,12.9
27/08/2020,region,E12000001,North East,16225,2508,66,3,12
26/08/2020,region,E12000001,North East,16159,2505,68,2,11.1
25/08/2020,region,E12000001,North East,16091,2503,49,2,10.3
24/08/2020,region,E12000001,North East,16042,2501,39,0,9.8
23/08/2020,region,E12000001,North East,16003,2501,23,6,9.6
22/08/2020,region,E12000001,North East,15980,2495,33,1,9.1
21/08/2020,region,E12000001,North East,15947,2494,42,4,8.5
20/08/2020,region,E12000001,North East,15905,2490,43,7,8.1
19/08/2020,region,E12000001,North East,15862,2483,46,5,8.5
18/08/2020,region,E12000001,North East,15816,2478,36,2,8.2
17/08/2020,region,E12000001,North East,15780,2476,32,3,8.6
16/08/2020,region,E12000001,North East,15748,2473,11,0,8.2
15/08/2020,region,E12000001,North East,15737,2473,18,4,8.3
14/08/2020,region,E12000001,North East,15719,2469,31,1,8.1
13/08/2020,region,E12000001,North East,15688,2468,53,3,7.5
12/08/2020,region,E12000001,North East,15635,2465,39,3,6.4
11/08/2020,region,E12000001,North East,15596,2462,45,3,6.1
10/08/2020,region,E12000001,North East,15551,2459,21,4,5.1
09/08/2020,region,E12000001,North East,15530,2455,15,6,5.1
08/08/2020,region,E12000001,North East,15515,2449,12,3,5.1
07/08/2020,region,E12000001,North East,15503,2446,15,4,5
06/08/2020,region,E12000001,North East,15488,2442,24,5,4.9
05/08/2020,region,E12000001,North East,15464,2437,30,0,4.5
04/08/2020,region,E12000001,North East,15434,2437,20,2,4.2
03/08/2020,region,E12000001,North East,15414,2435,19,4,3.6
02/08/2020,region,E12000001,North East,15395,2431,16,3,3.3
01/08/2020,region,E12000001,North East,15379,2428,9,4,2.9
31/07/2020,region,E12000001,North East,15370,2424,12,6,2.7
30/07/2020,region,E12000001,North East,15358,2418,15,3,2.5
29/07/2020,region,E12000001,North East,15343,2415,21,1,2.3
28/07/2020,region,E12000001,North East,15322,2414,5,5,2.1
27/07/2020,region,E12000001,North East,15317,2409,9,4,2.4
26/07/2020,region,E12000001,North East,15308,2405,6,2,2.5
25/07/2020,region,E12000001,North East,15302,2403,5,2,2.5
24/07/2020,region,E12000001,North East,15297,2401,7,2,2.5
23/07/2020,region,E12000001,North East,15290,2399,8,2,2.6
22/07/2020,region,E12000001,North East,15282,2397,16,3,2.9
21/07/2020,region,E12000001,North East,15266,2394,14,3,2.9
20/07/2020,region,E12000001,North East,15252,2391,11,3,2.8
19/07/2020,region,E12000001,North East,15241,2388,7,3,2.7
18/07/2020,region,E12000001,North East,15234,2385,4,3,2.6
17/07/2020,region,E12000001,North East,15230,2382,10,4,2.7
16/07/2020,region,E12000001,North East,15220,2378,15,0,2.7
15/07/2020,region,E12000001,North East,15205,2378,16,1,2.8
14/07/2020,region,E12000001,North East,15189,2377,12,5,2.6
13/07/2020,region,E12000001,North East,15177,2372,9,5,2.6
12/07/2020,region,E12000001,North East,15168,2367,3,2,2.7
11/07/2020,region,E12000001,North East,15165,2365,7,1,2.7
10/07/2020,region,E12000001,North East,15158,2364,10,4,2.8
09/07/2020,region,E12000001,North East,15148,2360,17,2,2.7
08/07/2020,region,E12000001,North East,15131,2358,12,4,2.4
07/07/2020,region,E12000001,North East,15119,2354,12,2,2.2
06/07/2020,region,E12000001,North East,15107,2352,11,3,2.2
05/07/2020,region,E12000001,North East,15096,2349,4,2,2.2
04/07/2020,region,E12000001,North East,15092,2347,9,4,2.4
03/07/2020,region,E12000001,North East,15083,2343,8,4,2.5
02/07/2020,region,E12000001,North East,15075,2339,9,4,2.5
01/07/2020,region,E12000001,North East,15066,2335,7,5,2.7
30/06/2020,region,E12000001,North East,15059,2330,11,4,2.8
29/06/2020,region,E12000001,North East,15048,2326,11,3,3.4
28/06/2020,region,E12000001,North East,15037,2323,9,7,3.9
27/06/2020,region,E12000001,North East,15028,2316,13,2,3.7
26/06/2020,region,E12000001,North East,15015,2314,8,7,3.8
25/06/2020,region,E12000001,North East,15007,2307,12,12,4
24/06/2020,region,E12000001,North East,14995,2295,11,3,4.5
23/06/2020,region,E12000001,North East,14984,2292,26,7,4.8
22/06/2020,region,E12000001,North East,14958,2285,24,5,4.5
21/06/2020,region,E12000001,North East,14934,2280,4,9,4.8
20/06/2020,region,E12000001,North East,14930,2271,17,5,5.8
19/06/2020,region,E12000001,North East,14913,2266,14,3,6.3
18/06/2020,region,E12000001,North East,14899,2263,23,8,7.3
17/06/2020,region,E12000001,North East,14876,2255,19,3,7.3
16/06/2020,region,E12000001,North East,14857,2252,18,11,8
15/06/2020,region,E12000001,North East,14839,2241,32,3,8.8
14/06/2020,region,E12000001,North East,14807,2238,31,8,8.8
13/06/2020,region,E12000001,North East,14776,2230,31,6,8.3
12/06/2020,region,E12000001,North East,14745,2224,40,6,8.2
11/06/2020,region,E12000001,North East,14705,2218,23,11,8.3
10/06/2020,region,E12000001,North East,14682,2207,38,8,9.6
09/06/2020,region,E12000001,North East,14644,2199,40,11,10.1
08/06/2020,region,E12000001,North East,14604,2188,33,10,10.8
07/06/2020,region,E12000001,North East,14571,2178,17,12,12.2
06/06/2020,region,E12000001,North East,14554,2166,28,7,13.3
05/06/2020,region,E12000001,North East,14526,2159,42,15,14
04/06/2020,region,E12000001,North East,14484,2144,59,11,15
