"","date","areaName","cumCases","cumDeaths","newCases","newDeaths","newCasesAvg"
"6",2020-12-08,1,105852,4383,717,22,156.8
"7",2020-12-07,1,105135,4361,757,33,154.2
"8",2020-12-06,1,104378,4328,509,24,154.4
"9",2020-12-05,1,103869,4304,413,33,152.4
"10",2020-12-04,1,103456,4271,557,21,155.4
"11",2020-12-03,1,102899,4250,591,27,158.4
"12",2020-12-02,1,102308,4223,642,24,162.6
"13",2020-12-01,1,101666,4199,647,24,168.7
"14",2020-11-30,1,101019,4175,763,33,176.4
"15",2020-11-29,1,100256,4142,455,34,184.2
"16",2020-11-28,1,99801,4108,494,30,190.5
"17",2020-11-27,1,99307,4078,637,24,197.4
"18",2020-11-26,1,98670,4054,702,32,208.8
"19",2020-11-25,1,97968,4022,805,31,220.9
"20",2020-11-24,1,97163,3991,853,39,241
"21",2020-11-23,1,96310,3952,971,36,264.1
"22",2020-11-22,1,95339,3916,625,38,286.6
"23",2020-11-21,1,94714,3878,678,39,302.6
"24",2020-11-20,1,94036,3839,942,40,316.6
"25",2020-11-19,1,93094,3799,1023,33,337.9
"26",2020-11-18,1,92071,3766,1342,35,357
"27",2020-11-17,1,90729,3731,1470,35,376.3
"28",2020-11-16,1,89259,3696,1572,29,387.8
"29",2020-11-15,1,87687,3667,1052,36,405.9
"30",2020-11-14,1,86635,3631,1051,38,415
"31",2020-11-13,1,85584,3593,1511,32,426
"32",2020-11-12,1,84073,3561,1534,22,424.1
"33",2020-11-11,1,82539,3539,1858,25,422.3
"34",2020-11-10,1,80681,3514,1777,27,405.7
"35",2020-11-09,1,78904,3487,2055,41,396
"36",2020-11-08,1,76849,3446,1295,22,381.7
"37",2020-11-07,1,75554,3424,1345,32,370.4
"38",2020-11-06,1,74209,3392,1460,30,353.2
"39",2020-11-05,1,72749,3362,1486,26,343.8
"40",2020-11-04,1,71263,3336,1414,26,330.2
"41",2020-11-03,1,69849,3310,1519,23,321.1
"42",2020-11-02,1,68330,3287,1672,21,308.2
"43",2020-11-01,1,66658,3266,994,28,295
"44",2020-10-31,1,65664,3238,885,20,289.5
"45",2020-10-30,1,64779,3218,1210,31,288.6
"46",2020-10-29,1,63569,3187,1122,19,282.1
"47",2020-10-28,1,62447,3168,1171,29,286.1
"48",2020-10-27,1,61276,3139,1176,21,298.6
"49",2020-10-26,1,60100,3118,1317,24,308.3
"50",2020-10-25,1,58783,3094,848,18,311.8
"51",2020-10-24,1,57935,3076,861,19,311
"52",2020-10-23,1,57074,3057,1038,14,309
"53",2020-10-22,1,56036,3043,1227,25,310.5
"54",2020-10-21,1,54809,3018,1506,21,308.3
"55",2020-10-20,1,53303,2997,1434,24,303.9
"56",2020-10-19,1,51869,2973,1410,24,298.7
"57",2020-10-18,1,50459,2949,827,18,297.8
"58",2020-10-17,1,49632,2931,807,19,301.8
