,user,date,text,hashtags,is_retweet,favourites,retweets
0,donwinslow,Mon Mar 15 23:41:09 +0000 2021,"Dear Trumpers,

If #Covid_19 is a hoax why did Donald Trump and his wife get the vaccine for it?

Don",Covid_19,False,32561,6507
1,Pontifex,Mon Mar 15 12:30:00 +0000 2021,To experience #Lent with love means caring for those who suffer or feel abandoned and fearful because of the #Covid-19 pandemic.,Lent Covid,False,18363,2619
2,nytimes,Mon Mar 15 18:10:06 +0000 2021,The world-renowned cellist Yo-Yo Ma gave a surprise concert at a vaccination site in Massachusetts during the 15 mi… https://t.co/4FNrAtMjWw,,False,3781,870
97,SalBDub,Tue Mar 16 14:47:20 +0000 2021,"In response to the weekend’s events and vigils following the tragic murder of Sarah Everard, @DaveThompsonCC  has called for…",,True,0,34
72,flajeffreyt,Tue Mar 16 14:47:24 +0000 2021,"NEW: Trump Tower vaccinated staff at the luxury hotel, saying it was part of the Protect Chicago Plus program meant to help So…",,True,0,140
71,chicagosmayor,Tue Mar 16 14:47:24 +0000 2021,"Today is a solemn anniversary for Chicago. On this day one year ago, we lost the first Chicagoan to COVID-19: Patri… https://t.co/XPlVf40YZJ",,False,0,0
70,QPRReport,Tue Mar 16 14:47:25 +0000 2021,Oops.....”New study finds slow walkers four times more likely to die from COVID-19: study” https://t.co/atiG7gvYWu,,False,0,0
69,chicagosmayor,Tue Mar 16 14:47:25 +0000 2021,Patricia's death also sounded the alarm on the disproportionate impact COVID-19 would have on communities of color.… https://t.co/e8NmGxKSnD,,False,0,0
68,pensionpat,Tue Mar 16 14:47:25 +0000 2021,Today’s #COVID19 #Epidemiology in Canada Daily Update: https://t.co/2586g1O35R https://t.co/wkiAbO8NNd,COVID19 Epidemiology,True,0,17
67,chicagosmayor,Tue Mar 16 14:47:25 +0000 2021,That's why we launched the Racial Equity Rapid Response Team to get to the root of the inequities driving this trag… https://t.co/niktKCZuZA,,False,0,0
66,DemInGeorgia,Tue Mar 16 14:47:25 +0000 2021,"92% Of Democrats have been or want to be vaccinated while only 50% of Republicans do. 
We need 70-85% 4 herd immunity.…",,True,0,4
