,user,date,text,hashtags,is_retweet,favourites,retweets
0,gvanrossum,Mon Mar 15 20:47:51 +0000 2021,Signups for the Python Language Summit at PyCon (online only) are now open. If you're representing a third party pa… https://t.co/ccO7xN0AlL,,False,235,82
1,RuPaulsDragRace,Mon Mar 15 16:00:01 +0000 2021,Remember Britney's python? This is her now. 🐍💛  Snatch up @denalifox's sickening lewk from the Yellow Gorgeous runw… https://t.co/AS4v1mrXcG,,False,1999,154
2,JohnMu,Mon Mar 15 20:07:38 +0000 2021,"Five lines of #Python 🐍🔥 to give you weekly metrics from your Search Console performance report downloads. 

Thank… https://t.co/UsLtEl3uzv",Python,False,97,27
3,Artificialbra1n,Tue Mar 16 14:47:39 +0000 2021,"Decision Trees in Machine Learning (ML) with Python Tutorial → https://t.co/xQbc4AqDZh

#decisiontrees #deeplearning #neural…",decisiontrees deeplearning,True,0,24
4,nicfreeman1209,Tue Mar 16 14:47:38 +0000 2021,"@ptwiddle Write python/etc to output the individual video frames, then use e.g. virtualdub to stitch them into a video",,False,0,0
5,WomenCodersBot,Tue Mar 16 14:47:38 +0000 2021,"I just published in @TDataScience The Concepts Behind Logistic Regression https://t.co/xCqlRVhp34 
#python #datascience…",python datascience,True,0,1
6,AndresAgui90,Tue Mar 16 14:47:37 +0000 2021,"Deep Learning For Land Cover Classification Of Satellite Imagery Using Python [tutorial]
https://t.co/K3zXYzBKf6
#GIS #…",GIS,True,0,16
7,Asiyene_KDM,Tue Mar 16 14:47:37 +0000 2021,"Be happy about each and every error message you get when compiling #code.

It is a chance to learn something new. 

#100D…",code,True,0,9
8,Joffreybvn,Tue Mar 16 14:47:36 +0000 2021,How To Deploy ML Models on #AWS. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats…,AWS BigData Analytics DataScience AI MachineLearning IoT IIoT PyTorch Python RStats,True,0,16
9,GTechCouncil,Tue Mar 16 14:47:35 +0000 2021,"4 Machine Learning Applications you use in Real World. 
Explore our courses: https://t.co/jxj4gr3hOE
#datascience… https://t.co/s9LwzB6Hbx",datascience,False,0,0
10,IndhuChelliah,Tue Mar 16 14:47:33 +0000 2021,"I just published in @TDataScience The Concepts Behind Logistic Regression https://t.co/xCqlRVhp34 
#python… https://t.co/1BO5Vj2c7u",python,False,0,1
11,prostudywriters,Tue Mar 16 14:47:26 +0000 2021,"Hire me help you get A's in your essays.
pay someone write
#Physics
#essayhelp
#English
#essaypay
#Maths
#Essaydue… https://t.co/QwiNpn4anT",Physics essayhelp English essaypay Maths Essaydue,False,0,0
12,xaelbot,Tue Mar 16 14:47:14 +0000 2021,"This is ⚫ Black Panther face!

#animal #wildlife #photography #BlackPanther #fotografia #flutter #python #metroidvania #…",animal wildlife photography BlackPanther fotografia flutter python metroidvania,True,0,15
13,GarySmithMIW,Tue Mar 16 14:47:13 +0000 2021,"Secure your #Python #FastAPI Backend with a simple Approov integration https://t.co/7yJRdGwq35
#API #DevSecOps #Developer #…",Python FastAPI API DevSecOps Developer,True,0,1
14,coder_487,Tue Mar 16 14:47:10 +0000 2021,"This is ⚫ Black Panther face!

#animal #wildlife #photography #BlackPanther #fotografia #flutter #python #metroidvania #…",animal wildlife photography BlackPanther fotografia flutter python metroidvania,True,0,15
15,Necio_news,Tue Mar 16 14:47:08 +0000 2021,"(Excel 2019 Bible) Check it out 👉 - https://t.co/Ru2veT9FQs

#datascience #Java #ArtificialIntelligence #python #Bigdata #j…",datascience Java ArtificialIntelligence python Bigdata,True,0,13
16,IainLJBrown,Tue Mar 16 14:47:01 +0000 2021,Analytical Targeting &amp; Interaction Optimization with SAS Customer Intelligence 360 #ArtificialIntelligence #AI… https://t.co/tLsF6UauaX,ArtificialIntelligence AI,False,0,0
17,r_9771,Tue Mar 16 14:47:00 +0000 2021,"tiny python script to watch an S3 bucket for new files and download them 

https://t.co/qyb06Yskcq https://t.co/hlda3hhUXn",,True,0,6
18,bungobot1,Tue Mar 16 14:46:58 +0000 2021,How to Install the Python Environment for AI and Machine Learning on WSL2 https://t.co/dyqvW5TdiO  #MachineLearning,MachineLearning,True,0,3
19,oka39403689,Tue Mar 16 14:46:54 +0000 2021,400 followers! thank you thank you! love from ezo bear and python! ❤️🐍🐻 https://t.co/JolFBPsHux,,True,0,28
20,dmonty_python,Tue Mar 16 14:46:53 +0000 2021,"The feds finally got me smdh, retweet so I can find my mutuals again https://t.co/VG5sLug6W8",,True,0,11
21,stanfordnlp,Tue Mar 16 14:46:52 +0000 2021,"Hear from @yuhaozhangx, Member of @stanfordnlp &amp;  @StanfordAIMI on ""Analyzing #Biomedical and #Clinical Text with the Sta…",Biomedical Clinical,True,0,2
22,flipsidexr,Tue Mar 16 14:46:50 +0000 2021,Do you like tinkering with #singleboardcomputers like #RaspberryPi? Is #Python programming and #Bash scripting second…,singleboardcomputers RaspberryPi Python Bash,True,0,2
23,friday_Js_bot,Tue Mar 16 14:46:49 +0000 2021,"Our rates are affordable always:--

Dissertation
onlineclass
summer classes 
Essay
#Paper pay 
Case study..
python
#Do my ho…",Paper Do,True,0,1
