,user,date,text,hashtags,is_retweet,favourites,retweets,source,geo
0,netpol,Wed Mar 17 17:43:20 +0000 2021,1/ Met Deputy Chief Stephen House today criticised @SistersUncut and the #SarahEverard vigil for sharing what to do… https://t.co/UoG2HpvfK5,SarahEverard,False,195,183,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",
1,AamerAnwar,Thu Mar 18 11:25:27 +0000 2021,"The actions of the Tories, attacks on women at #Clapham, 118 women murdered by men in the last year, acceptance by… https://t.co/0oxcMVoZAO",Clapham,False,165,66,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2,BethRigby,Thu Mar 18 13:40:39 +0000 2021,"Up in Edinburgh today talking to @Keir_Starmer about #SarahEverard &amp; what needs to change, the Covid public inquiry… https://t.co/0KUi7CP5Wq",SarahEverard,False,329,52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
3,LenNicholson,Fri Mar 19 11:36:24 +0000 2021,"@Jeni84977722 The danger is that #pritipatel has simply been clever enough to delay until April, when the tragedy of #Sa…",pritipatel,False,0,3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
4,nwethantthant,Fri Mar 19 11:36:17 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,738,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
5,erecamargot,Fri Mar 19 11:36:08 +0000 2021,This may save a life. Please retweet and share this everywhere.  #shewaswalkinghome #SarahEverard #CurfewForwomen #curfe…,shewaswalkinghome SarahEverard CurfewForwomen,False,0,750,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
6,TnyeinK,Fri Mar 19 11:36:07 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,738,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
7,erecamargot,Fri Mar 19 11:35:47 +0000 2021,"Her name was Sarah and she deserved to be able to walk home that night. It was her right. 

#notallmenbutallwomen 

#Sa…",notallmenbutallwomen,False,0,99,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
8,CicelyMcWilliam,Fri Mar 19 11:35:38 +0000 2021,Waking up early to chat on a couple of CBC radio shows about the week that was a month from the #CallItFemicide report…,CallItFemicide,False,0,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
9,YuNandar8874312,Fri Mar 19 11:35:38 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,738,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
10,netpol,Wed Mar 17 17:43:20 +0000 2021,1/ Met Deputy Chief Stephen House today criticised @SistersUncut and the #SarahEverard vigil for sharing what to do… https://t.co/UoG2HpvfK5,SarahEverard,False,195,183,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",
11,AamerAnwar,Thu Mar 18 11:25:27 +0000 2021,"The actions of the Tories, attacks on women at #Clapham, 118 women murdered by men in the last year, acceptance by… https://t.co/0oxcMVoZAO",Clapham,False,165,66,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
12,BethRigby,Thu Mar 18 13:40:39 +0000 2021,"Up in Edinburgh today talking to @Keir_Starmer about #SarahEverard &amp; what needs to change, the Covid public inquiry… https://t.co/0KUi7CP5Wq",SarahEverard,False,329,52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
13,erecamargot,Fri Mar 19 11:37:19 +0000 2021,"How about we stop telling girls / women how to act, what not to wear, and what to do to prevent them being attacked, and in…",,False,0,99,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
14,LenNicholson,Fri Mar 19 11:36:24 +0000 2021,"@Jeni84977722 The danger is that #pritipatel has simply been clever enough to delay until April, when the tragedy of #Sa…",pritipatel,False,0,3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
15,nwethantthant,Fri Mar 19 11:36:17 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
16,erecamargot,Fri Mar 19 11:36:08 +0000 2021,This may save a life. Please retweet and share this everywhere.  #shewaswalkinghome #SarahEverard #CurfewForwomen #curfe…,shewaswalkinghome SarahEverard CurfewForwomen,False,0,750,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
17,TnyeinK,Fri Mar 19 11:36:07 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
18,erecamargot,Fri Mar 19 11:35:47 +0000 2021,"Her name was Sarah and she deserved to be able to walk home that night. It was her right. 

#notallmenbutallwomen 

#Sa…",notallmenbutallwomen,False,0,99,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
19,CicelyMcWilliam,Fri Mar 19 11:35:38 +0000 2021,Waking up early to chat on a couple of CBC radio shows about the week that was a month from the #CallItFemicide report…,CallItFemicide,False,0,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
20,YuNandar8874312,Fri Mar 19 11:35:38 +0000 2021,"Women all over the world are standing against femicide. From Turkey to Argentina and Myanmar to the UK. 

Women say en…",,False,0,741,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
21,erecamargot,Fri Mar 19 11:35:31 +0000 2021,"Insecure men all over Twitter at the moment...

#notallmenbutallwomen #SarahEverard https://t.co/TIhTfxVGUI",notallmenbutallwomen SarahEverard,False,0,128,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
22,MNose1960,Fri Mar 19 11:35:28 +0000 2021,@BBCNews Not a single protest from the #SarahEverard crowd. Almost as if they don't care for some reason.,SarahEverard,False,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
